business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
Trading,13,1535382,478138,401637,804,3,0.75,1531453,Average,0
Retail,20,5964717,489984,2574714,575,2,0.75,1465812,Poor,1
Services,20,5528298,341556,953282,312,3,0.61,57172,Average,1
Services,23,4832889,273478,227946,302,1,0.47,359449,Average,0
Services,10,3491849,338174,993652,523,3,0.79,2241970,Poor,1
Manufacturing,11,7636346,37509,1130109,474,1,0.84,981041,Average,1
Retail,9,4182506,88653,944576,684,4,0.12,4722686,Average,0
Trading,9,2719493,188001,914899,540,4,0.14,3214194,Poor,1
Trading,5,7724609,411770,313503,846,4,0.87,4487203,Good,0
Trading,1,656778,461507,2266271,313,2,0.32,2239776,Good,1
Manufacturing,17,1597682,286186,2368292,494,2,0.8,2592122,Average,1
Manufacturing,22,3432293,213646,2076393,696,1,0.41,1985859,Good,0
Services,2,1841037,319345,381922,730,0,0.2,1789575,Good,0
Trading,24,4332371,243354,2429897,605,2,0.16,2154716,Average,0
Manufacturing,13,5154501,34016,1344416,633,1,0.23,669462,Poor,0
Services,9,2902352,307166,2035196,709,3,0.3,2230085,Good,0
Trading,4,1831817,252034,1610121,302,4,0.49,1354294,Average,0
Retail,5,7067835,47938,1733959,751,4,0.66,2700259,Poor,1
Services,11,6531616,194750,493035,794,4,0.89,3499005,Good,0
Manufacturing,24,2315074,400315,2085115,716,1,0.45,2699412,Poor,0
Manufacturing,19,6015175,280710,2506419,690,4,0.51,965624,Average,0
Services,21,5020058,252320,1929466,672,2,0.52,1571968,Poor,0
Services,3,4262931,343864,960657,351,3,0.53,1687011,Poor,1
Manufacturing,12,7627605,387658,2810592,675,4,0.51,2007428,Average,0
Retail,19,4840334,207877,1056247,694,1,0.11,1614248,Good,0
Trading,19,6919511,487539,739317,441,3,0.1,3964847,Good,0
Retail,13,2102502,153058,408332,385,4,0.18,2817089,Poor,1
Services,7,1762538,96478,801240,763,0,0.18,1370767,Poor,0
Retail,15,6679878,496210,171292,345,4,0.66,187956,Poor,1
Manufacturing,23,6045980,425377,140570,537,2,0.26,2414207,Poor,1
Services,7,2326819,433905,2631692,309,3,0.82,2960887,Good,1
Trading,8,2374520,147101,1045791,829,2,0.84,4670967,Average,0
Manufacturing,5,5509995,376843,2270943,477,0,0.88,174798,Average,1
Manufacturing,21,2732665,211996,1591121,305,0,0.85,3783235,Average,1
Trading,14,4234053,381417,2662841,606,2,0.32,1302974,Poor,0
Trading,4,7932749,225380,2010299,847,3,0.51,4841681,Poor,0
Retail,23,6164075,252200,934807,626,0,0.24,3457872,Average,0
Services,10,5452682,83745,2903501,655,0,0.74,2570609,Good,0
Trading,20,1032722,152283,2877433,694,4,0.81,1766963,Average,1
Trading,15,5380692,413445,2138140,599,1,0.78,3065726,Good,1
Services,18,2091396,401116,1469600,825,0,0.45,3175391,Poor,0
Trading,20,6325261,461758,2509622,584,3,0.71,103376,Average,1
Trading,13,5969463,427561,2294055,629,3,0.18,1656139,Average,0
Retail,8,1500847,121489,2036205,349,4,0.13,1958237,Poor,1
Manufacturing,9,1334104,51819,1947459,677,3,0.7,2553579,Good,1
Manufacturing,16,2750700,67779,95708,837,4,0.44,141981,Average,0
Manufacturing,19,4175416,233493,1574616,443,0,0.9,2372009,Average,1
Manufacturing,16,5338460,374388,1265442,359,0,0.18,500841,Good,0
Trading,7,4318293,85584,1420092,374,0,0.78,20734,Average,1
Services,14,1516053,433166,2630309,302,0,0.48,1464677,Average,1
Services,14,5772184,166245,2280844,747,1,0.76,3748283,Poor,1
Retail,4,7617619,268815,2641318,574,1,0.75,3100784,Good,1
Retail,15,5309667,340176,2905681,829,0,0.83,406557,Average,0
Trading,3,6338602,397218,1007642,514,3,0.34,563723,Average,0
Services,5,4401599,381417,2881902,784,4,0.86,4592810,Poor,1
Services,1,1994000,310180,103024,628,2,0.22,3715828,Average,0
Manufacturing,3,1690598,274957,1501469,554,4,0.17,968032,Poor,1
Trading,15,4846925,91356,1273759,686,2,0.45,4121802,Average,0
Trading,24,2869849,165364,592112,425,2,0.76,1946849,Poor,1
Manufacturing,8,1031658,23052,568534,849,0,0.48,4906063,Good,0
Trading,4,4096315,326521,1982159,623,2,0.76,1490229,Good,0
Trading,2,5179797,218910,98926,503,0,0.68,320051,Average,1
Retail,24,7359432,349963,1266508,471,1,0.27,868308,Average,0
Services,24,4075702,395833,2422271,516,3,0.86,441939,Poor,1
Trading,10,4390284,166692,1847613,544,2,0.15,1870663,Poor,1
